Character,Pinyin
今年, jīnnián this year
岁, suì year (of age)
怎么样, zěnmeyàng how is
今天, jīntiān today
课, kè class
星期, xīngqī week
上午, shàngwǔ morning
下午, xiàwǔ afternoon
星期日, xīngqīrì Sunday
号, hào day of the month
生日, shēngrì birthday
多大, duō dà how old
出生, chūshēng to be born
属, shǔ born in the year of
聚会, jùhuì get-together; party
祝贺, zhùhè to congratulate
参加, cānjiā to participate
过, guò to spend (time)
吃, chī to eat
蛋糕, dàngāo cake
买, mǎi to buy
瓶, píng bottle
红葡萄酒, hóng pútaojiǔ red wine
宋华, Sòng Huá name
北京, běijīng
快乐, kuàilè happy
漂亮, piàoliang pretty
烤鸭, kǎoyā roast duck
喝, hē to drink
再, zài again
寿面, shòumiàn longevity noodles
